Field	Time	C7:X	C7:Y	C7:Z	CLAV:X	CLAV:Y	CLAV:Z	LANK:X	LANK:Y	LANK:Z	LBHD:X	LBHD:Y	LBHD:Z	LBWT:X	LBWT:Y	LBWT:Z	LELB:X	LELB:Y	LELB:Z	LFHD:X	LFHD:Y	LFHD:Z	LFIN:X	LFIN:Y	LFIN:Z	LFRM:X	LFRM:Y	LFRM:Z	LFWT:X	LFWT:Y	LFWT:Z	LHEE:X	LHEE:Y	LHEE:Z	LKNE:X	LKNE:Y	LKNE:Z	LMT5:X	LMT5:Y	LMT5:Z	LSHN:X	LSHN:Y	LSHN:Z	LSHO:X	LSHO:Y	LSHO:Z	LTHI:X	LTHI:Y	LTHI:Z	LTOE:X	LTOE:Y	LTOE:Z	LUPA:X	LUPA:Y	LUPA:Z	LWRA:X	LWRA:Y	LWRA:Z	LWRB:X	LWRB:Y	LWRB:Z	RANK:X	RANK:Y	RANK:Z	RBAC:X	RBAC:Y	RBAC:Z	RBHD:X	RBHD:Y	RBHD:Z	RBWT:X	RBWT:Y	RBWT:Z	RELB:X	RELB:Y	RELB:Z	RFHD:X	RFHD:Y	RFHD:Z	RFIN:X	RFIN:Y	RFIN:Z	RFRM:X	RFRM:Y	RFRM:Z	RFWT:X	RFWT:Y	RFWT:Z	RHEE:X	RHEE:Y	RHEE:Z	RKNE:X	RKNE:Y	RKNE:Z	RMT5:X	RMT5:Y	RMT5:Z	RSHN:X	RSHN:Y	RSHN:Z	RSHO:X	RSHO:Y	RSHO:Z	RTHI:X	RTHI:Y	RTHI:Z	RTOE:X	RTOE:Y	RTOE:Z	RUPA:X	RUPA:Y	RUPA:Z	RWRA:X	RWRA:Y	RWRA:Z	RWRB:X	RWRB:Y	RWRB:Z	STRN:X	STRN:Y	STRN:Z	T10:X	T10:Y	T10:Z
465	3.8667	52.865	-23.599	1420.4	28.236	151.07	1367.2	-67.395	-8.5017	103	-44.312	55.132	1578.4	-47.403	-50.701	943.07	-350.68	-14.427	1303.8	-15.045	173.64	1619	-750.26	151.23	1377.2	-435.44	3.8644	1273.6	-86.821	138.76	942.87	-31.07	-85.584	30.555	-101.76	73.321	449.1	-104.03	84.656	37.15	-106.61	45.136	303.95	-79.71	31.121	1419.2	-135.82	111.76	711.57	-61.006	180.75	37.614	-250.98	-8.5532	1354.7	-562.86	170.76	1337.6	-609.34	49.568	1319.1	142.42	-26.33	92.282	132.78	-68.529	1294	88.882	3.4007	1570.9	115.78	-42.818	941.99	437.55	52.556	1275.4	118.3	178.9	1621.2	836.88	229.6	1266.8	586.21	106.55	1255.1	161.43	150.45	932.82	76.928	-89.294	37.459	178.33	82.544	445.7	193.63	77.701	35.965	171.12	36.222	266.28	169.36	64.974	1414.9	206.05	122.06	610.11	157.93	173.28	40.705	280.2	56.06	1386.7	641.7	241.35	1311.8	703.22	135.82	1270.3	22.826	201.52	1199.8	44.879	-68.89	1213
466	3.8750	53.432	-23.65	1420.6	28.236	150.2	1366.9	-67.447	-8.5532	102.95	-44.106	54.359	1578.2	-47.713	-50.495	943.28	-348.93	-15.303	1297.3	-15.097	173.02	1618.8	-744.9	151.28	1375.6	-433.48	3.6068	1265.9	-87.078	138.81	942.87	-31.121	-85.532	30.606	-101.71	73.321	449.1	-104.08	84.553	37.098	-106.61	45.188	303.95	-80.483	31.431	1421.3	-135.87	111.81	711.52	-60.955	180.85	37.768	-250.67	-8.5017	1351.9	-558.85	171.37	1330.7	-606.76	51.216	1310.9	142.31	-26.33	92.179	132.99	-68.117	1294.6	89.448	2.9885	1571	115.47	-42.612	942.04	436.47	52.968	1271.9	118.41	178.54	1621	835.38	229.34	1267.5	585.02	107.48	1250.2	161.12	150.76	932.56	76.928	-89.345	37.356	178.07	82.441	445.64	193.74	77.597	36.119	171.12	36.068	266.34	170.39	66.159	1416.2	206	121.91	610.06	157.98	173.28	40.808	280.92	58.275	1385.9	639.59	243.05	1306.2	701.06	137.68	1265	22.414	200.64	1199.8	45.085	-68.89	1213.5
467	3.8833	54.102	-23.805	1421.1	28.081	149.48	1366.7	-67.447	-8.6048	102.95	-44.003	53.638	1578	-47.867	-50.186	943.54	-347.02	-16.076	1291	-15.303	172.25	1618.5	-738.93	150.76	1373.6	-431.73	4.0705	1258.7	-87.336	138.81	942.76	-31.07	-85.481	30.709	-101.81	73.475	448.94	-104.03	84.347	37.098	-106.76	45.342	304	-81.565	32.203	1423.6	-135.98	111.76	711.46	-60.852	180.85	37.82	-250.26	-7.9865	1349.6	-554.88	172.1	1323.3	-604.03	52.505	1302.6	142.26	-26.278	92.025	133.19	-67.756	1295.3	90.118	2.4217	1571.1	115.06	-42.406	942.3	435.24	53.484	1268.6	118.41	178.23	1620.6	833.17	229.13	1267.7	583.73	108.56	1245	160.86	151.02	932.35	76.928	-89.345	37.253	177.87	82.441	445.64	193.79	77.597	35.862	171.01	36.016	266.34	171.32	67.241	1417.7	205.79	121.81	610.01	158.08	173.33	41.014	281.74	60.8	1385.4	637.58	244.69	1300.4	700.23	138.96	1258.5	22.104	199.87	1199.7	45.291	-69.147	1214.3
468	3.8917	54.617	-23.959	1422.2	28.081	148.45	1366.8	-67.447	-8.6563	102.9	-43.848	52.917	1578	-47.97	-49.98	943.84	-344.91	-16.694	1285.4	-15.2	171.73	1618.1	-732.85	150.2	1370.6	-429.67	4.0705	1252.1	-87.748	138.96	942.76	-31.07	-85.429	30.915	-102.02	73.888	448.68	-104.03	84.244	37.15	-106.76	45.497	304	-82.698	33.595	1425.5	-136.08	111.81	711.36	-60.8	180.8	37.82	-250	-7.0075	1347.4	-551.07	173.23	1315.4	-601.41	54.102	1294.1	142.26	-26.226	92.025	133.61	-67.602	1296.4	90.53	1.7003	1571.3	114.7	-42.096	942.51	433.9	54.205	1265.9	118.3	177.76	1619.8	830.64	229.24	1266.8	581.62	109.49	1240.8	160.55	151.23	932.15	77.031	-89.294	37.253	177.71	82.544	445.64	193.94	77.597	35.913	170.86	36.068	266.34	171.79	68.684	1419.2	205.54	121.91	610.01	158.13	173.28	41.014	282.46	63.686	1385.3	635.57	246.14	1294.2	698.84	140.36	1251.8	22.053	199.09	1199.7	45.549	-69.766	1215
469	3.9000	54.72	-24.114	1423.7	28.288	147.16	1366.9	-67.498	-8.7078	102.79	-43.591	51.989	1578.3	-47.97	-49.877	943.84	-342.7	-17.57	1280.9	-14.994	171.32	1617.5	-727.08	149.84	1366.3	-427.04	2.5763	1245.8	-88.109	139.17	942.97	-31.121	-85.378	31.018	-102.33	74.248	448.68	-104.18	84.244	37.15	-106.76	45.6	304.1	-83.626	35.45	1427.6	-136.23	111.86	711.26	-60.749	180.8	37.768	-250.05	-5.4617	1345.5	-547.36	174.47	1307.3	-598.73	56.008	1285.3	142.31	-26.226	92.179	134.17	-67.189	1297.7	90.943	0.92746	1571.8	114.44	-41.89	942.56	432.61	54.875	1263.8	118.2	177.2	1619	828.38	229.8	1264.9	579.1	110.01	1237.7	160.24	151.49	931.99	77.031	-89.294	37.253	177.56	82.647	445.59	194.1	77.597	36.222	170.6	36.377	266.44	171.99	70.487	1420.7	205.17	122.27	610.11	158.03	173.28	41.014	283.03	66.623	1385.6	633.51	247.53	1287.9	696.88	142.42	1244.9	22.259	198.37	1199.4	45.909	-70.435	1215.5
470	3.9083	54.566	-24.165	1425.1	28.442	146.23	1366.7	-67.447	-8.6563	102.84	-43.436	51.165	1578.4	-48.022	-49.671	943.9	-340.33	-18.395	1278	-14.994	170.65	1617	-722.03	149.73	1360.1	-424.36	1.3912	1240.7	-88.366	139.27	943.12	-31.07	-85.481	31.018	-102.59	74.506	448.74	-104.18	84.399	36.995	-106.81	45.703	304.16	-84.09	37.098	1430	-136.54	111.91	711.21	-60.8	180.91	37.768	-250.1	-3.6583	1344	-543.85	175.55	1298.5	-596.1	57.606	1276.1	142.42	-26.226	92.231	134.58	-66.416	1298.9	91.252	0.36068	1572	114.23	-41.942	942.61	431.32	55.596	1262.6	118.2	176.73	1618.6	825.9	230.73	1262.2	577.55	111.24	1233.4	159.94	151.64	931.79	77.031	-89.345	37.253	177.45	82.802	445.49	194.05	77.546	36.274	170.45	36.635	266.59	172.3	72.084	1422.3	204.81	122.79	610.11	157.87	173.38	41.066	283.24	69.405	1386.3	631.5	249.07	1281.6	695.34	144.63	1238.1	22.517	197.5	1199	46.115	-70.693	1215.8
471	3.9167	54.514	-24.062	1426.2	28.7	145.41	1366.2	-67.395	-8.6563	102.9	-43.539	50.495	1578.5	-48.125	-49.516	944	-338.11	-18.498	1275.9	-15.149	169.93	1616.5	-717.85	150.3	1351.8	-421.84	0.82441	1236.6	-88.624	139.12	943.17	-30.967	-85.532	31.018	-102.95	74.712	448.58	-104.08	84.399	36.841	-106.92	45.703	304.21	-84.347	38.644	1432.4	-137.06	112.17	711.16	-60.749	180.91	37.871	-249.9	-2.0095	1343.3	-540.66	176.89	1289.6	-593.47	59.254	1266.7	142.47	-26.123	92.282	134.89	-65.644	1300	91.458	-0.10305	1572	114.13	-41.993	942.61	430.14	56.369	1262.1	118.35	176.17	1618.2	823.02	231.56	1258.8	576.06	112.74	1228.3	159.78	151.69	931.74	77.082	-89.448	37.356	177.35	83.008	445.44	193.99	77.494	36.377	170.45	36.789	266.75	172.61	73.218	1424.5	204.56	123.2	610.01	157.87	173.38	41.066	283.13	72.084	1387.2	629.18	250.67	1275.3	692.97	146.44	1231	22.62	196.47	1198.9	46.27	-70.951	1216.6
472	3.9250	54.566	-24.011	1426.9	29.06	144.63	1365.9	-67.395	-8.6563	102.9	-43.694	49.671	1578.6	-48.125	-49.516	944	-336.31	-17.931	1274	-15.149	169.47	1616.1	-714.5	151.49	1341.7	-419.31	0.51526	1233.1	-88.985	138.86	943.07	-31.018	-85.481	31.018	-103.21	75.021	448.48	-104.08	84.502	36.995	-106.97	45.806	304.46	-84.76	40.293	1434.4	-137.57	112.69	711.26	-60.8	180.91	37.82	-249.49	-0.36068	1343.1	-537.77	178.64	1281	-590.95	61.109	1257.3	142.31	-26.072	92.385	135.46	-64.922	1301.3	91.664	-0.82441	1572	114.08	-41.993	942.61	429.21	57.193	1262.4	118.56	175.5	1617.6	819.87	232.17	1254.5	573.63	112.94	1225.2	159.73	151.74	931.89	77.134	-89.5	37.459	177.09	83.265	445.64	193.99	77.443	36.429	170.29	36.995	266.8	172.46	74.403	1426.5	204.25	123.76	610.06	157.93	173.33	40.963	282.77	74.764	1388.2	626.76	252.32	1269	690.08	148.08	1223.8	22.723	195.13	1198.9	46.631	-71.517	1217.7
473	3.9333	54.566	-24.114	1428	29.163	143.96	1365.7	-67.395	-8.7078	102.95	-43.591	48.846	1578.4	-48.073	-49.671	944.05	-334.86	-17.467	1273	-14.942	169.16	1615.7	-712.19	153.08	1330.1	-416.94	0.4122	1230.2	-89.191	138.66	943.12	-31.018	-85.429	31.018	-103.36	75.433	448.58	-103.98	84.76	37.201	-107.12	45.806	304.72	-85.069	41.633	1436.3	-137.99	113.05	711.21	-60.955	180.96	37.665	-249.13	1.3912	1343.4	-534.78	180.49	1272.8	-588.68	63.119	1247.9	142.26	-25.969	92.385	135.72	-64.046	1302.9	91.767	-1.4942	1571.9	114.08	-41.993	942.51	428.28	58.224	1263.1	118.66	175.19	1616.8	816.94	232.9	1249.4	571.68	113.15	1223.4	159.63	151.79	932.05	77.082	-89.5	37.562	176.94	83.677	446.01	193.94	77.494	36.377	170.14	37.253	266.95	172.1	76.052	1428.1	203.94	124.28	610.17	157.98	173.28	40.86	282.41	77.185	1389.8	624.54	253.87	1262.9	688.28	149.78	1217.2	23.032	193.84	1198.9	47.043	-72.187	1218.7
474	3.9417	54.411	-23.908	1429.7	28.906	142.98	1365.4	-67.395	-8.7078	102.95	-43.385	48.331	1578.2	-48.022	-49.774	944.05	-334.09	-17.003	1273.5	-14.736	169	1615.5	-710.69	154.94	1317.4	-414.83	0	1227.9	-89.242	138.45	943.33	-30.915	-85.532	31.121	-103.62	75.897	448.53	-103.88	84.914	37.253	-107.33	45.755	304.77	-85.275	42.921	1438.3	-138.29	113	711	-60.955	181.01	37.614	-248.97	3.3492	1343.9	-531.95	182.14	1264.5	-586.41	65.334	1238.2	142.26	-25.814	92.437	135.62	-63.222	1304.6	91.715	-2.061	1571.6	114.08	-41.89	942.35	427.15	59.306	1263.5	118.77	175.03	1616.1	814.41	233.57	1244.1	570.03	114.18	1221.3	159.52	151.79	932.2	77.134	-89.448	37.614	176.68	84.193	446.16	194.05	77.546	36.326	170.03	37.408	266.9	171.73	77.597	1430.1	203.53	124.74	610.11	157.98	173.23	40.808	282.26	79.246	1391.8	622.53	255.41	1257.2	686.42	151.49	1211.4	23.29	192.76	1198.6	47.249	-72.909	1219.6
475	3.9500	54.359	-23.65	1431.4	28.751	141.95	1365.5	-67.447	-8.6563	102.9	-43.281	48.073	1578.1	-47.919	-50.237	943.84	-333.94	-16.488	1274.5	-14.479	168.95	1615.2	-709.56	157.15	1303.5	-413.29	-0.4122	1225.9	-89.242	137.99	943.28	-30.761	-85.635	31.276	-103.77	76	448.32	-104.03	84.76	37.15	-107.38	45.755	304.72	-85.326	44.312	1440.3	-138.5	113	710.9	-61.058	181.06	37.408	-248.97	5.3071	1344.8	-529.17	183.74	1256.4	-584.15	67.292	1228.1	142.21	-25.763	92.591	135.77	-62.81	1306.1	91.715	-2.5248	1571.5	114.08	-41.839	942.14	425.91	60.182	1263.8	118.82	174.67	1615.7	812.25	233.77	1239.1	568.17	115.16	1219	159.52	151.79	932.35	77.134	-89.448	37.717	176.22	84.708	446.01	194.05	77.494	36.274	169.98	37.459	266.7	171.32	78.834	1432.1	203.17	125.36	610.27	158.03	173.28	40.808	281.9	81.307	1393.4	620.52	257.01	1251.7	684.16	153.03	1205.7	23.341	191.52	1198.4	47.403	-73.475	1220.2
476	3.9583	54.359	-23.753	1432.5	28.957	141.03	1365.9	-67.498	-8.6563	102.79	-43.436	47.713	1578	-47.867	-51.062	943.64	-333.52	-16.179	1275.3	-14.273	168.69	1614.8	-708.48	159.42	1288.9	-412.31	-0.87593	1224.8	-89.448	137.32	943.23	-30.709	-85.635	31.276	-103.93	76.052	448.22	-104.03	84.708	36.892	-107.48	45.909	304.72	-85.275	45.858	1442.2	-138.66	113.2	710.95	-61.161	181.11	37.15	-248.97	6.8014	1346.3	-526.38	185.39	1248.3	-581.83	69.044	1218.3	142.11	-25.814	92.694	136.29	-62.397	1307.7	91.664	-2.8339	1571.4	114.13	-41.839	942.09	424.98	60.749	1265.2	118.82	174.21	1615	809.98	233.62	1234.7	566.68	115.83	1217.2	159.47	151.85	932.3	77.031	-89.345	37.562	175.86	85.378	445.8	193.94	77.391	36.377	169.93	37.562	266.7	171.01	79.916	1433.9	202.86	125.98	610.37	157.98	173.33	40.705	281.28	83.317	1394.8	618.62	258.4	1246.3	681.53	154.27	1200.4	23.393	190.49	1198.4	47.558	-73.991	1221.1
477	3.9667	54.462	-23.959	1433.1	29.215	140.05	1366.3	-67.447	-8.6563	102.74	-43.539	47.249	1577.9	-47.816	-51.577	943.48	-333.16	-16.282	1276.5	-14.118	168.28	1614.1	-706.98	161.69	1274.2	-411.64	-1.2881	1224.6	-89.809	136.9	943.54	-30.812	-85.532	31.173	-104.13	76.052	448.12	-104.03	84.76	36.995	-107.53	46.012	304.57	-85.069	47.558	1443.7	-138.86	113.2	711	-61.264	181.22	36.995	-248.92	8.0895	1348.2	-523.71	186.78	1240.1	-579.35	71.208	1209.6	142	-25.763	92.797	136.65	-62.037	1309.5	91.509	-3.04	1571.3	114.23	-41.736	942.14	424.52	61.367	1267	118.97	173.8	1614.1	807.46	232.84	1230.9	565.7	116.34	1216.1	159.47	151.85	932.35	76.979	-89.294	37.408	175.7	85.945	445.7	193.89	77.391	36.583	169.83	37.82	266.8	170.76	80.998	1435.6	202.75	126.44	610.32	157.87	173.33	40.654	280.87	85.481	1396.4	616.97	259.79	1241.3	678.69	155.4	1195.4	23.341	189.77	1198.8	47.764	-74.661	1222.3
478	3.9750	54.72	-23.908	1434.1	29.473	139.22	1366.5	-67.395	-8.7593	102.64	-43.333	46.888	1577.6	-47.61	-51.577	943.33	-333.27	-16.076	1278.6	-14.17	168.02	1613.3	-705.28	164.11	1259.7	-411.33	-1.3397	1224.8	-90.118	136.59	943.84	-30.864	-85.481	31.121	-104.18	75.897	448.12	-104.18	84.656	37.253	-107.59	45.961	304.36	-85.017	49.104	1445.1	-139.07	113.1	711.21	-61.315	181.22	36.892	-249.07	9.2231	1350.2	-521.13	188.02	1232.5	-576.83	73.218	1201.2	141.9	-25.763	92.797	136.59	-61.521	1310.8	91.303	-3.2461	1571.2	114.34	-41.684	942.25	424.62	62.552	1269.1	119.18	173.49	1613.4	804.93	232.02	1227.5	564.82	117.01	1215.3	159.47	151.85	932.25	76.979	-89.242	37.459	175.75	86.254	445.59	193.84	77.443	36.377	169.73	38.077	266.75	170.45	81.874	1437.4	202.75	126.91	610.27	157.93	173.33	40.551	280.35	87.645	1398.2	615.52	261.39	1236.7	676.53	156.64	1191	23.238	189	1199.1	47.97	-75.279	1223.4
479	3.9833	55.081	-23.65	1435.1	29.782	138.71	1366.5	-67.498	-8.7593	102.59	-43.178	46.734	1577.3	-47.197	-51.526	943.64	-334.14	-15.406	1281.2	-14.273	168.08	1612.3	-703.79	166.43	1245.1	-411.64	-1.2366	1225.7	-90.273	136.34	943.95	-30.864	-85.429	31.07	-104.13	75.794	448.22	-104.18	84.656	37.201	-107.69	46.012	304.36	-85.017	50.289	1446.1	-139.33	113.05	711.46	-61.315	181.11	36.944	-249.54	10.357	1352.5	-518.81	189.1	1225.3	-574.46	74.867	1193.2	141.85	-25.711	92.849	136.75	-60.8	1311.8	91.303	-3.5037	1571	114.39	-41.633	942.3	425.19	64.458	1272.1	119.18	173.28	1613	802.36	232.48	1224.5	563.9	118.1	1215.1	159.52	151.95	931.99	76.979	-89.242	37.614	175.81	86.511	445.39	193.74	77.443	36.016	169.52	38.438	266.54	170.09	82.75	1439.3	202.8	127.37	610.32	158.03	173.38	40.396	279.78	89.861	1400.2	614.44	263.14	1233	674.83	157.82	1187	23.393	188.02	1199.2	48.176	-75.897	1224.1
480	3.9917	55.184	-23.547	1435.9	29.936	138.29	1366.5	-67.705	-8.5017	102.69	-43.127	46.476	1576.9	-46.682	-51.526	944.1	-335.84	-14.273	1284.7	-14.221	168.18	1611.4	-702.34	168.8	1231.2	-412.56	-1.4427	1227.5	-90.376	136.29	944	-30.864	-85.429	31.07	-104.18	75.846	448.07	-104.13	84.76	37.047	-107.79	46.218	304.46	-84.811	51.268	1446.6	-139.63	112.94	711.46	-61.367	181.06	36.995	-250.47	12.005	1354.8	-516.49	190.64	1218.1	-572.04	77.185	1186.1	141.9	-25.711	93.004	137.21	-60.027	1312.8	91.406	-3.9159	1571.2	114.39	-41.633	942.35	425.6	65.901	1275.5	118.97	173.33	1612.5	800.04	233.67	1221.1	563.43	119.13	1215.7	159.47	152.1	931.99	77.082	-89.191	37.768	175.7	86.666	445.28	193.74	77.494	35.759	169.36	38.953	266.23	169.73	83.729	1441.1	202.86	127.83	610.42	158.03	173.38	40.344	279.42	92.076	1402.3	613.36	264.64	1229.9	673.13	159.06	1183	23.65	187.09	1199.1	48.486	-76.618	1224.8
481	4.0000	55.184	-23.599	1436.3	30.039	137.78	1366.5	-67.756	-8.2956	102.84	-43.127	46.321	1576.5	-46.528	-51.577	944.46	-338.37	-12.572	1288.9	-13.963	168.18	1610.5	-700.85	171.84	1217.7	-414.37	-1.2881	1230.5	-90.427	136.18	944.15	-30.812	-85.481	31.07	-104.24	76	448.01	-104.18	84.76	37.098	-107.95	46.476	304.52	-84.399	52.144	1447.1	-139.99	112.84	711.36	-61.367	181.01	36.841	-251.86	13.912	1357.1	-513.76	193.22	1210.6	-570.13	79.71	1179.5	141.95	-25.608	93.004	137.52	-59.357	1313.7	91.509	-4.1736	1571.5	114.39	-41.581	942.4	426.12	66.88	1278.9	118.97	173.28	1612.1	798.59	234.8	1216.9	563.53	120	1217.4	159.21	152.26	932.2	77.134	-89.088	37.871	175.7	86.924	445.23	193.68	77.597	35.707	169.31	39.262	266.08	169.26	84.811	1442.7	202.8	128.25	610.47	157.98	173.33	40.448	278.96	94.292	1404.3	612.38	265.77	1227.1	671.58	160.5	1179.2	23.856	186.47	1198.8	48.743	-77.546	1225.4
482	4.0083	55.132	-23.496	1436.8	30.555	137.26	1366.5	-67.653	-8.3471	102.9	-43.127	46.27	1576.3	-46.476	-51.474	944.77	-341.46	-10.357	1293.8	-13.809	168.08	1609.8	-699.2	175.6	1203.8	-417.05	-0.15458	1234.3	-90.633	136.18	944.41	-30.864	-85.429	31.173	-104.29	76.206	448.17	-104.18	84.76	37.15	-108.15	46.528	304.46	-84.193	52.968	1447.5	-140.36	112.84	711.31	-61.315	181.01	36.789	-253.51	15.818	1360	-511.08	196.16	1203.9	-569.15	81.565	1173.9	141.95	-25.505	92.849	137.78	-58.481	1314.6	91.458	-4.2766	1571.6	114.44	-41.53	942.4	427.2	68.168	1283	119.33	173.07	1611.5	797.15	236.4	1212.5	563.84	121.19	1219.7	158.8	152.57	932.51	77.185	-89.088	37.768	175.7	87.233	445.23	193.63	77.597	35.965	169.36	39.469	266.23	168.64	85.893	1444.1	202.65	128.56	610.37	157.98	173.28	40.448	278.34	96.507	1406.5	611.51	266.75	1225	670.35	161.84	1176.1	24.114	185.59	1198.5	49.001	-78.37	1226
483	4.0167	54.823	-23.393	1437.3	31.07	136.95	1366.7	-67.653	-8.3471	102.95	-43.178	46.27	1576.1	-46.218	-51.216	945.08	-344.6	-7.8319	1299.1	-13.706	167.87	1609.2	-696.88	179.57	1190.8	-420.09	1.2366	1238.9	-90.891	136.23	944.57	-30.761	-85.326	31.328	-104.55	76.464	448.22	-104.08	84.811	37.098	-108.31	46.528	304.26	-84.193	53.844	1447.6	-140.51	112.89	711.36	-61.212	181.11	36.944	-255	18.189	1363.4	-508.76	198.53	1198.2	-567.71	82.956	1169.4	141.95	-25.454	92.746	138.4	-57.502	1315.3	91.406	-4.3281	1571.8	114.54	-41.53	942.35	428.49	69.869	1287.8	119.44	173.13	1610.8	795.3	238.1	1208.3	564.15	122.63	1223	158.54	152.72	932.66	77.082	-89.139	37.665	175.65	87.439	445.23	193.74	77.597	36.274	169.36	39.469	266.18	167.87	86.924	1445.4	202.55	128.76	610.17	157.98	173.38	40.551	277.72	98.362	1409.1	610.47	267.68	1223.5	669.37	163.23	1174	24.475	184.31	1198.5	49.207	-78.834	1226.5
484	4.0250	54.514	-23.496	1437.7	31.328	136.85	1367	-67.756	-8.2441	102.95	-43.23	46.27	1575.9	-46.115	-51.062	945.18	-347.85	-5.101	1304.7	-13.551	168.02	1608.9	-693.89	183.53	1178.9	-423.23	2.5763	1244.3	-90.994	136.23	944.77	-30.761	-85.275	31.276	-104.85	76.722	448.17	-104.03	84.708	37.15	-108.46	46.734	304.16	-84.244	54.772	1448.1	-140.61	113	711.41	-61.161	181.16	37.098	-256.34	21.28	1366.8	-506.14	199.82	1192.9	-565.7	84.399	1165.6	141.9	-25.505	92.797	138.76	-56.781	1315.7	91.355	-4.3797	1571.8	114.44	-41.53	942.4	429.77	71.517	1292.7	119.23	173.13	1610.2	793.49	239.75	1204.4	564.57	123.97	1226.9	158.44	152.82	932.72	77.031	-89.191	37.614	175.5	87.696	445.39	193.99	77.546	36.48	169.26	39.366	266.03	166.89	87.903	1446.5	202.55	128.81	609.91	158.03	173.49	40.551	276.95	99.856	1411.6	609.39	269.22	1222.4	668.34	164.68	1172.9	24.784	183.33	1198.5	49.516	-79.195	1226.9
485	4.0333	54.359	-23.599	1438	31.482	136.8	1366.9	-67.705	-8.2956	102.84	-43.281	46.27	1575.9	-46.064	-50.959	945.24	-350.89	-2.4217	1310.4	-13.448	168.23	1608.6	-690.34	187.04	1167.9	-426.17	3.9159	1250.3	-91.046	136.23	944.98	-30.915	-85.275	31.121	-104.96	76.876	448.07	-104.03	84.656	37.253	-108.51	46.991	304.16	-84.141	55.699	1448.6	-140.72	113.05	711.41	-61.109	181.16	37.15	-257.58	24.526	1370.2	-502.63	200.23	1188.3	-564	85.687	1162.5	141.85	-25.454	92.746	138.76	-56.369	1315.8	91.406	-4.2766	1571.7	114.39	-41.53	942.45	430.96	73.063	1297.8	119.02	172.97	1609.2	791.84	241.76	1200.7	565.34	125.1	1230.9	158.39	153.08	932.72	77.082	-89.242	37.614	175.29	88.057	445.64	194.05	77.546	36.635	169.16	39.469	266.03	165.91	88.727	1447.6	202.6	128.97	609.7	158.08	173.49	40.448	275.87	101.4	1414	608.26	271.18	1221.9	667.26	165.55	1173.7	24.938	182.92	1198.5	49.774	-79.504	1227.1
486	4.0417	54.256	-23.753	1438.2	31.482	136.59	1366.7	-67.602	-8.3471	102.84	-43.281	46.218	1575.9	-45.961	-51.01	945.29	-353.36	0.15458	1316	-13.448	168.18	1608.2	-686.53	189.82	1157.5	-428.43	5.101	1255.6	-90.994	136.23	945.08	-30.967	-85.378	31.07	-104.96	77.082	448.07	-104.13	84.656	37.408	-108.62	47.3	304.21	-83.987	56.42	1448.9	-140.77	113.25	711.36	-61.058	181.06	37.098	-258.61	27.309	1374.1	-498.66	200.07	1184.6	-562.14	86.666	1160.3	141.85	-25.454	92.694	138.76	-56.008	1316.3	91.355	-4.2251	1571.6	114.34	-41.53	942.4	432.2	74.506	1303.8	119.02	172.97	1608.5	789.83	244.64	1197.4	566.16	126.75	1235.5	158.44	153.34	932.61	77.082	-89.345	37.665	175.19	88.263	445.64	193.94	77.546	36.326	169.16	39.726	266.18	165.09	89.191	1448.7	202.5	129.28	609.55	157.98	173.54	40.448	274.73	102.79	1416.4	606.97	272.62	1222.2	666.53	166.53	1175.4	25.041	182.76	1198.7	49.928	-79.813	1227.2
487	4.0500	54.05	-23.856	1438.4	31.328	136.23	1366.6	-67.602	-8.2956	102.95	-43.281	46.321	1575.9	-46.012	-51.113	945.24	-355.42	2.6278	1321.6	-13.603	168.23	1607.6	-682.56	192.45	1147.7	-430.24	6.1315	1260.2	-90.685	136.03	944.93	-30.915	-85.429	31.07	-105.06	77.288	448.01	-104.13	84.605	37.408	-108.72	47.507	304.26	-83.832	56.73	1449.3	-140.66	113.56	711.41	-61.109	181.06	37.047	-259.38	29.73	1378.2	-495.21	199.97	1182.2	-560.03	87.387	1158.6	141.85	-25.402	92.746	138.86	-55.596	1317.3	91.303	-4.1736	1571.7	114.44	-41.478	942.3	433.64	75.846	1309.9	118.92	173.13	1608.2	787.67	248.1	1193.8	566.99	128.66	1240.7	158.65	153.34	932.51	77.134	-89.397	37.768	175.24	88.469	445.64	193.79	77.546	36.016	169.06	39.932	266.23	164.16	89.551	1449.7	202.39	129.48	609.34	158.03	173.54	40.551	273.81	103.67	1418.8	605.68	273.55	1223.4	666.02	167.92	1177	25.041	182.5	1198.8	50.031	-80.071	1227.3
